PARCELID,PropertyID,OwnerName,TotalAcres,CountyName,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,OwnerZipCo,DbaName,CareOfTaxp,LegalDescr,Township,Range,Section,matched_grouped_entity,ranch_component,match_reason
49034223301010000,664646,RANCH AT DOME MOUNTAIN LLC,640.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S23, T07 S, R07 E, ALL",07 S,07 E,23,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034221301010000,664644,RANCH AT DOME MOUNTAIN LLC,640.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S21, T07 S, R07 E, ALL",07 S,07 E,21,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034203301010000,664635,RANCH AT DOME MOUNTAIN LLC,561.67,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S03, T07 S, R07 E, C.O.S. 2747RB, ACRES 561.67, REMAINDER",07 S,07 E,03,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034210301010000,664638,RANCH AT DOME MOUNTAIN LLC,480.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S10, T07 S, R07 E, W2, W2E2",07 S,07 E,10,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034214401010000,664639,RANCH AT DOME MOUNTAIN LLC,480.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S14, T07 S, R07 E, E2, E2W2",07 S,07 E,14,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034215401010000,664640,RANCH AT DOME MOUNTAIN LLC,480.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S15, T07 S, R07 E, N2, SE4",07 S,07 E,15,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034222301010000,664645,RANCH AT DOME MOUNTAIN LLC,479.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S22, T07 S, R07 E, W2 LESS 1 AC, W2E2",07 S,07 E,22,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034229301010000,664647,RANCH AT DOME MOUNTAIN LLC,401.49,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S29, T07 S, R07 E, ALL E OF RIVER LESS C/S 1070 & 45.18 AC",07 S,07 E,29,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034220401010000,664643,RANCH AT DOME MOUNTAIN LLC,290.41,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S20, T07 S, R07 E, LOT 6, SE4 LESS C/S 1065, E2NE4, SW4NE4",07 S,07 E,20,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034209401010000,664637,RANCH AT DOME MOUNTAIN LLC,269.55,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S09, T07 S, R07 E, ACRES 269.55, LOT 5 LESS COS 1122, LOTS 6,7,8, SW4SE4 LESS COS  747, E2E2 LESS RD",07 S,07 E,09,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
