ownership_group,owner_name,normalized_owner_name,total_acres,parcel_count,counties,owner_addresses,match_reason,confidence,include_in_defensible_total,materiality_flag,recommended_manual_check
CROSSHARBOR / LONE MOUNTAIN,TOWN CENTER PHASE II LLC,TOWN CENTER PHASE II LLC,504.512,7,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact entity seed plus project/geography/address corroboration; beneficial-control review remains,strong_candidate,True,,Confirm current beneficial control in entity/deed records before production grouping.
CROSSHARBOR / LONE MOUNTAIN,MOONLIGHT CREEK LLC,MOONLIGHT CREEK LLC,205.141,1,Madison,31 SAINT JAMES AVE STE 740 BOSTON MA 02116-4186,owner-name keyword: MOONLIGHT; expected project geography only,weak_candidate,False,,Resolve name/geography signal with current deed or corporate evidence.
CROSSHARBOR / LONE MOUNTAIN,MBLP HOTEL OWNER LLC,MBLP HOTEL OWNER LLC,144.886,9,Madison,% CROSSHARBOR CAPITAL PARTNERS LLC ONE BOSTON PLACE STE 2310 BOSTON MA 02108 | %CROSSHARBOR CAPITAL PARTNERS LLC 1 BOSTON PL STE 2310 BOSTON MA 02108-4407 | 1 BOSTON PL STE 2310 BOSTON MA 02108-4407 | C/O CROSSHARBOR CAPITAL 1 BOSTON PL STE 2310 BOSTON MA 02108 | C/O CROSSHARBOR CAPITAL 1 BOSTON PLACE STE 2310 BOSTON MA 02108,exact entity seed plus project/geography/address corroboration; beneficial-control review remains,strong_candidate,True,,Confirm current beneficial control in entity/deed records before production grouping.
CROSSHARBOR / LONE MOUNTAIN,HF NORTH 40 LLC,HF NORTH 40 LLC,41.924,1,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,MBLP CUSTOM HOME LOTS OWNER LLC,MBLP CUSTOM HOME LOTS OWNER LLC,31.267000000000003,8,Madison,C/O CROSSHARBOR CAPITAL 1 BOSTON PL STE 2310 BOSTON MA 02108-4407,exact entity seed plus project/geography/address corroboration; beneficial-control review remains,strong_candidate,True,,Confirm current beneficial control in entity/deed records before production grouping.
CROSSHARBOR / LONE MOUNTAIN,GV 3 5 LLC,GV 3 5 LLC,19.141,9,Gallatin,C/O CROSSHARBOR CAPITAL PARTNERS ONE BOSTON PLACE STE 2310 BOSTON MA 02108,exact normalized group mailing location: C O CROSSHARBOR CAPITAL PARTNERS ONE BOSTON PLACE STE 2310 BOSTON MA 02108,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,HF GGI LLC,HF GGI LLC,18.81,2,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,HF BUCKS T4 LLC,HF BUCKS T4 LLC,17.47,2,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,MBLP ROAD OWNER LLC,MBLP ROAD OWNER LLC,16.843,3,Madison,C/O CROSSHARBOR CAPITAL 1 BOSTON PL STE 2310 BOSTON MA 02108 | C/O CROSSHARBOR CAPITAL 1 BOSTON PL STE 2310 BOSTON MA 02108-4407,exact entity seed plus project/geography/address corroboration; beneficial-control review remains,strong_candidate,True,,Confirm current beneficial control in entity/deed records before production grouping.
CROSSHARBOR / LONE MOUNTAIN,MBLP RESIDENTIAL OWNER LLC,MBLP RESIDENTIAL OWNER LLC,15.391,1,Madison,C/O CROSSHARBOR CAPITAL 1 BOSTON PLACE STE 2310 BOSTON MA 02108,exact entity seed plus project/geography/address corroboration; beneficial-control review remains,strong_candidate,True,,Confirm current beneficial control in entity/deed records before production grouping.
CROSSHARBOR / LONE MOUNTAIN,BSIH BOBSLED LLC,BSIH BOBSLED LLC,12.974,3,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
