owner_name,normalized_owner_name,total_acres,parcel_count,counties,county_acreage_breakdown,owner_addresses,match_reason,confidence,include_in_defensible_total
MONTANA RESOURCES LLC,MONTANA RESOURCES LLC,8104.598000000001,114,Jefferson | Silver Bow,Silver Bow: 7898.77 | Jefferson: 205.83,"600 SHIELDS AVE, BUTTE, MT, 59701-2705",exact normalized owner-name match to confirmed registry; broad keyword in OwnerName: MONTANA RESOURCES; exact normalized address shared with a confirmed entity,confirmed,True
WASHINGTON LIMESTONE LLC,WASHINGTON LIMESTONE LLC,6594.727,36,Granite,Granite: 6594.73,"101 INTERNATIONAL DR, MISSOULA, MT, 59808-1549 | 101 INTERNATIONAL DRIVE, MISSOULA, MT, 59808",exact normalized owner-name match to supplied conditional seed; broad keyword in OwnerName: WASHINGTON; broad keyword in OwnerName: LIMESTONE; normalized mailing address matches Washington Companies HQ,strong_candidate,True
GRANT CREEK RANCH LLC,GRANT CREEK RANCH LLC,2107.624,23,Missoula,Missoula: 2107.62,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",exact normalized owner-name match to supplied conditional seed; broad keyword in OwnerName: GRANT CREEK; normalized mailing address matches Washington Companies HQ,strong_candidate,True
BIGHORN LIMESTONE CO,BIGHORN LIMESTONE CO,1515.2,1,Carbon,Carbon: 1515.20,"BIGHORN LIMESTONE CO, C/O TAX, 1717 EAST INTERSTATE AVE, BISMARK, ND, 58503",broad keyword in OwnerName: LIMESTONE,weak_candidate,False
MONTANA RAIL LINK INC,MONTANA RAIL LINK INC,1408.13,95,Gallatin | Granite | Jefferson | Lake | Madison | Missoula | Park | Ravalli | Yellowstone,Madison: 524.02 | Park: 374.42 | Gallatin: 256.62 | Jefferson: 177.77 | Lake: 61.59 | Missoula: 6.77 | Granite: 3.69 | Ravalli: 3.25 | Yellowstone: 0.00,"101 INTERNATIONAL DR, MISSOULA, MT, 59808-1549 | ATTN RE DEPT/MT RAIL LINK INC-LEASE 501,368, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN RE DEPT/MT RAIL LINK INC-LEASE NO 214,702, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN RE DEPT/MT RAIL LINK INC-LEASE NO 229,775, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN RE DEPT/MT RAIL LINK INC-LEASE NO 239,001, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN RE DEPT/MT RAIL LINK INC-LEASE NO 500,287, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN RE DEPT/MT RAIL LINK INC-LEASE NO 500,595, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN RE DEPT/MT RAIL LINK INC-LEASE NO 501,273, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN RE DEPT/MT RAIL LINK INC-LEASE NO 501651, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN REAL ESTATE, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN:  REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN: REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN: REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6630 | ATTN: REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN: REAL ESTATE, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN: REAL ESTATE, PO BOX 16624, MISSOULA, MT, 59808-6630 | C/O MONTANA MADE COFFEE CO LLC - LESSEE, ATTN: REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MAIL TO REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MAIL TO: REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MONTANA RAIL LINK INC, REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | PO BOX 16390, MISSOULA, MT, 59808-6390 | PO BOX 16624, MISSOULA, MT, 59808-6624 | PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ; known historical or unrelated record; excluded from current total,unrelated,False
MOUNTAIN LION LLC,MOUNTAIN LION LLC,956.74,31,Carbon | Cascade | Deer Lodge | Granite | Jefferson | Madison | Missoula | Silver Bow,Granite: 268.15 | Cascade: 252.00 | Missoula: 158.14 | Deer Lodge: 96.29 | Jefferson: 77.71 | Madison: 73.95 | Silver Bow: 25.50 | Carbon: 5.00,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549 | 101 INTERNATIONAL DR, MISSOULA, MT, 59808-1549 | PO BOX 16630, MISSOULA, MT, 59808 | PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ,address_candidate,False
YELLOWSTONE RANCH PROPERTIES LLC,YELLOWSTONE RANCH PROPERTIES LLC,781.7,1,Dawson,Dawson: 781.70,"22108 9TH AVE SE, BOTHELL, WA, 98021-8263",broad WASHINGTON keyword in CareOfTaxp; surname/term alone is not a link,unrelated,False
MONTANA LIMESTONE COMPANY,MONTANA LIMESTONE COMPANY,767.32,9,Carbon,Carbon: 767.32,"BASIN ELECTRIC POWER COOP, 1717 E INTERSTATE AVE, BISMARCK, ND, 58503-0542",broad keyword in OwnerName: LIMESTONE,weak_candidate,False
MONTANA RAIL LINK,MONTANA RAIL LINK,465.242,61,Gallatin | Jefferson | Lake | Missoula | Ravalli | Sanders | Yellowstone,Missoula: 246.16 | Jefferson: 80.70 | Ravalli: 72.86 | Sanders: 36.21 | Gallatin: 16.76 | Yellowstone: 10.00 | Lake: 2.55,"ATTN REAL ESTATE DEPARTMEN, PO BOX 16624, MISSOULA, MT, 59808 | ATTN REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808 | ATTN REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | ATTN: REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MAIL TO REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MAIL TO REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6630 | MAIL TO: WASHINGTON CORP, PO BOX 16630, MISSOULA, MT, 59808-6630 | MONTANA RAIL LINK IN - ADD ONLY-, ATTN: REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MONTANA RAIL LINK INC  -ADD ONLY-, ATTN: REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MONTANA RAIL LINK INC - ADD ONLY-, ATTN: REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MONTANA RAIL LINK INC -ADD ONLY-, ATTN: REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624 | MONTANA RAIL LINK INC, ATTN: REAL ESTATE DEPT, PO BOX 16624, MISSOULA, MT, 59808-6624 | PO BOX 16390, 101 INTERNATIONAL WAY, MISSOULA, MT, 59808-6390 | PO BOX 16390, MISSOULA, MT, 59808-6390 | PO BOX 16624, MISSOULA, MT, 59808-6624",normalized mailing address matches Washington Companies HQ; known historical or unrelated record; excluded from current total,unrelated,False
PIPESTONE WATER USERS,PIPESTONE WATER USERS,318.51,2,Jefferson,Jefferson: 318.51,"12 RANCH LAND RD, WHITEHALL, MT, 59759-8640",broad keyword in OwnerName: PIPESTONE,weak_candidate,False
GRANT CREEK HOLDINGS LLC,GRANT CREEK HOLDINGS LLC,117.0,1,Missoula,Missoula: 117.00,"11440 GRANT CREEK RD, MISSOULA, MT, 59808-8619",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
CLIFFS AT LIMESTONE CREEK LLC THE,CLIFFS AT LIMESTONE CREEK LLC THE,114.18,2,Gallatin,Gallatin: 114.18,"PO BOX 1800, CORVALLIS, OR, 97339-1800",broad keyword in OwnerName: LIMESTONE,weak_candidate,False
CLIFFS AT LIMESTONE CREEK LLC,CLIFFS AT LIMESTONE CREEK LLC,105.0,2,Gallatin,Gallatin: 105.00,"PO BOX 1800, CORVALLIS, OR, 97339-1800",broad keyword in OwnerName: LIMESTONE,weak_candidate,False
WASHINGTON BAR RANCH LLC,WASHINGTON BAR RANCH LLC,101.98,3,Madison,Madison: 101.98,"334 SEVERN RD, ANNAPOLIS, MD, 21401-6650",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
UNITED STATES OF AMERICA OF WASHINGTON DC,UNITED STATES OF AMERICA OF WASHINGTON DC,97.22,1,Liberty,Liberty: 97.22,"MAIL TO BUREAU OF RECLAMATION, PO BOX 100, HELENA, MT, 59624-0100",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
COPART OF WASHINGTON INC,COPART OF WASHINGTON INC,87.663,3,Lewis and Clark | Yellowstone,Lewis and Clark: 44.01 | Yellowstone: 43.65,"14185 DALLAS PKWY STE 300, DALLAS, TX, 75254-1327",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK CROSSING MISSOULA LLC,GRANT CREEK CROSSING MISSOULA LLC,75.06,4,Missoula,Missoula: 75.06,"3605 BRAHMS WAY, MISSOULA, MT, 59802-3269",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
PIPESTONE HOLDINGS LLC,PIPESTONE HOLDINGS LLC,67.74000000000001,2,Jefferson,Jefferson: 67.74,"36 DELMOE LAKE RD, WHITEHALL, MT, 59759-9665",broad keyword in OwnerName: PIPESTONE,weak_candidate,False
MONTANA RESOURCES LLP,MONTANA RESOURCES LLP,40.0,2,Madison,Madison: 40.00,"600 SHIELDS AVE, BUTTE, MT, 59701-2705",exact normalized owner-name match to confirmed registry; broad keyword in OwnerName: MONTANA RESOURCES; exact normalized address shared with a confirmed entity,confirmed,True
GATEWAY LIMITED PARTNERSHIP,GATEWAY LP,37.629999999999995,7,Missoula,Missoula: 37.63,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",normalized mailing address matches Washington Companies HQ,address_candidate,False
WC REAL PROPERTY HOLDINGS LLC,WC REAL PROPERTY HOLDINGS LLC,26.619999999999997,7,Missoula,Missoula: 26.62,"MAIL TO: WASHINGTON COMPANY, PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ,address_candidate,False
