PARCELID,TaxYear,PropertyID,Assessment,PropType,CountyName,OwnerName,TotalAcres,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,OwnerZipCo,DbaName,CareOfTaxp,normalized_owner_name,normalized_owner_address,match_reason,confidence
46137423401010000,2026,1337157,0001454482,Vacant Land,Granite,MOUNTAIN LION LLC,252.394,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
02256030301010000,2026,139623,0004346300,Vacant Land,Cascade,MOUNTAIN LION LLC,166.91,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
30137625301150000,2026,1283762,0000524350,Mining Claim,Deer Lodge,MOUNTAIN LION LLC,96.29,PO BOX 16630,,,MISSOULA,MT,59808,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808,normalized mailing address matches Washington Companies HQ,address_candidate
02256030304010000,2026,147702,0006004000,Vacant Land,Cascade,MOUNTAIN LION LLC,73.09,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
04197526102010000,2026,374526,0006002986,Vacant Land,Missoula,MOUNTAIN LION LLC,61.34,101 INTERNATIONAL DR,ATTN: JOHNNA EISENMANN,,MISSOULA,MT,59808-1549,,,MOUNTAIN LION LLC,101 INTERNATIONAL DR ATTN JOHNNA EISENMANN MISSOULA MT 59808 1549,normalized mailing address matches Washington Companies HQ,address_candidate
04197523401010000,2026,370501,0005848873,Vacant Land,Missoula,MOUNTAIN LION LLC,23.01,101 INTERNATIONAL DR,ATTN: JOHNNA EISENMANN,,MISSOULA,MT,59808-1549,,,MOUNTAIN LION LLC,101 INTERNATIONAL DR ATTN JOHNNA EISENMANN MISSOULA MT 59808 1549,normalized mailing address matches Washington Companies HQ,address_candidate
04197523104010000,2026,336480,0000942907,Improved Property,Missoula,MOUNTAIN LION LLC,22.01,101 INTERNATIONAL DR,ATTN: JOHNNA EISENMANN,,MISSOULA,MT,59808-1549,,,MOUNTAIN LION LLC,101 INTERNATIONAL DR ATTN JOHNNA EISENMANN MISSOULA MT 59808 1549,normalized mailing address matches Washington Companies HQ,address_candidate
04197523103010000,2026,370500,0005848860,Improved Property,Missoula,MOUNTAIN LION LLC,22.0,101 INTERNATIONAL DR,ATTN: JOHNNA EISENMANN,,MISSOULA,MT,59808-1549,,,MOUNTAIN LION LLC,101 INTERNATIONAL DR ATTN JOHNNA EISENMANN MISSOULA MT 59808 1549,normalized mailing address matches Washington Companies HQ,address_candidate
04197523401020000,2026,370502,0005848886,Vacant Land,Missoula,MOUNTAIN LION LLC,22.0,101 INTERNATIONAL DR,ATTN: JOHNNA EISENMANN,,MISSOULA,MT,59808-1549,,,MOUNTAIN LION LLC,101 INTERNATIONAL DR ATTN JOHNNA EISENMANN MISSOULA MT 59808 1549,normalized mailing address matches Washington Companies HQ,address_candidate
25078212201010000,2026,929422,0012300100,Mining Claim,Madison,MOUNTAIN LION LLC,20.65,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
51119911401400000,2026,1107042,0000001012,Mining Claim,Jefferson,MOUNTAIN LION LLC,19.55,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
25078212301010000,2026,929425,0012300300,Mining Claim,Madison,MOUNTAIN LION LLC,18.56,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
51119912301200000,2026,1107043,0000001012,Mining Claim,Jefferson,MOUNTAIN LION LLC,18.28,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
51148910301500000,2026,1109219,0000002216,Mining Claim,Jefferson,MOUNTAIN LION LLC,17.88,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
25078212302010000,2026,929426,0012300400,Mining Claim,Madison,MOUNTAIN LION LLC,17.3,PO BOX 16630,,,MISSOULA,MT,59808-6630,,,MOUNTAIN LION LLC,PO BOX 16630 MISSOULA MT 59808 6630,normalized mailing address matches Washington Companies HQ,address_candidate
