owner_name,total_acres,parcel_count,address,reason_flagged,recommended_manual_check
WASHINGTON LIMESTONE LLC,6594.727,36,"101 INTERNATIONAL DR, MISSOULA, MT, 59808-1549 | 101 INTERNATIONAL DRIVE, MISSOULA, MT, 59808",exact normalized owner-name match to supplied conditional seed; broad keyword in OwnerName: WASHINGTON; broad keyword in OwnerName: LIMESTONE; normalized mailing address matches Washington Companies HQ,Verify current beneficial ownership in corporate filings/deeds before editing the production grouping.
GRANT CREEK RANCH LLC,2107.624,23,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",exact normalized owner-name match to supplied conditional seed; broad keyword in OwnerName: GRANT CREEK; normalized mailing address matches Washington Companies HQ,Verify current beneficial ownership in corporate filings/deeds before editing the production grouping.
BIGHORN LIMESTONE CO,1515.2,1,"BIGHORN LIMESTONE CO, C/O TAX, 1717 EAST INTERSTATE AVE, BISMARK, ND, 58503",broad keyword in OwnerName: LIMESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
MOUNTAIN LION LLC,956.74,31,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549 | 101 INTERNATIONAL DR, MISSOULA, MT, 59808-1549 | PO BOX 16630, MISSOULA, MT, 59808 | PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ,Check Montana business filings and deeds; a shared tax address alone does not establish beneficial ownership.
MONTANA LIMESTONE COMPANY,767.32,9,"BASIN ELECTRIC POWER COOP, 1717 E INTERSTATE AVE, BISMARCK, ND, 58503-0542",broad keyword in OwnerName: LIMESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
PIPESTONE WATER USERS,318.51,2,"12 RANCH LAND RD, WHITEHALL, MT, 59759-8640",broad keyword in OwnerName: PIPESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK HOLDINGS LLC,117.0,1,"11440 GRANT CREEK RD, MISSOULA, MT, 59808-8619",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
CLIFFS AT LIMESTONE CREEK LLC THE,114.18,2,"PO BOX 1800, CORVALLIS, OR, 97339-1800",broad keyword in OwnerName: LIMESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
CLIFFS AT LIMESTONE CREEK LLC,105.0,2,"PO BOX 1800, CORVALLIS, OR, 97339-1800",broad keyword in OwnerName: LIMESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK CROSSING MISSOULA LLC,75.06,4,"3605 BRAHMS WAY, MISSOULA, MT, 59802-3269",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
PIPESTONE HOLDINGS LLC,67.74000000000001,2,"36 DELMOE LAKE RD, WHITEHALL, MT, 59759-9665",broad keyword in OwnerName: PIPESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
GATEWAY LIMITED PARTNERSHIP,37.629999999999995,7,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",normalized mailing address matches Washington Companies HQ,Check Montana business filings and deeds; a shared tax address alone does not establish beneficial ownership.
WC REAL PROPERTY HOLDINGS LLC,26.619999999999997,7,"MAIL TO: WASHINGTON COMPANY, PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ,Check Montana business filings and deeds; a shared tax address alone does not establish beneficial ownership.
GRANT CREEK RANCH  LLC,20.0,1,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",exact normalized owner-name match to supplied conditional seed; broad keyword in OwnerName: GRANT CREEK; normalized mailing address matches Washington Companies HQ,Verify current beneficial ownership in corporate filings/deeds before editing the production grouping.
INLAND PROPERTIES INC,15.18,1,"PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ,Check Montana business filings and deeds; a shared tax address alone does not establish beneficial ownership.
RELP,15.08,2,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",normalized mailing address matches Washington Companies HQ,Check Montana business filings and deeds; a shared tax address alone does not establish beneficial ownership.
TKG GRANT CREEK DEVELOPMENT LLC,14.91,2,"211 N STADIUM BLVD STE 201, COLUMBIA, MO, 65203-1161",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
CONSUMER DIRECT GRANT CREEK CAMPUS LLC,9.620000000000001,3,"100 CONSUMER DIRECT WAY, MISSOULA, MT, 59808-5037",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
OLD POND HOLDINGS LLC,9.181999999999999,4,"101 INTERNATIONAL DR, MISSOULA, MT, 59808-1549",normalized mailing address matches Washington Companies HQ,Check Montana business filings and deeds; a shared tax address alone does not establish beneficial ownership.
GRANT CREEK SELF STORAGE LLC,8.28,1,"3605 BRAHMS WAY, MISSOULA, MT, 59802-3269",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
LIMESTONE CAMPING LLC,7.726,1,"4129 LIMESTONE CANYON RD, RAYNESFORD, MT, 59469-9619",broad keyword in OwnerName: LIMESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK VILLAGE PH 1 LLC,7.6,1,"5313 ELYN LOOP, MISSOULA, MT, 59808-1058",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK INN LLC,4.96,1,"5280 GRANT CREEK RD, MISSOULA, MT, 59808-1492",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK CELLARS LLC,4.04,2,"7400 OLD GRANT CREEK RD, MISSOULA, MT, 59808-9041",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
OLD GRANT CREEK LLC,2.8,3,"PO BOX 16930, MISSOULA, MT, 59808-6930",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK LLC,1.733,2,"PO BOX 1491, IDAHO FALLS, ID, 83403-1491",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK VILLAGE HOMEOWNERS ASSOC,1.13,1,"PO BOX 8182, MISSOULA, MT, 59807-8182",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK EXCAVATING LLC,1.07,1,"316 EXPRESSWAY, MISSOULA, MT, 59808-1560",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
LIMESTONE RENTALS LLC,1.036,1,"716 5TH AVE N, GREAT FALLS, MT, 59401-1530",broad keyword in OwnerName: LIMESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK PROPERTIES LLC,0.693,1,"2700 RADIO WAY, MISSOULA, MT, 59808-1385",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
GRANT CREEK WATER USERS ASSOCIATION INC,0.552,1,"PO BOX 17222, MISSOULA, MT, 59808-7222",broad keyword in OwnerName: GRANT CREEK,Determine whether the name variant/entity has an independent current Washington Companies connection.
3803 PIPESTONE LLC,0.104,1,"1001 MAIN STREET, KALISPELL, MT, 59901",broad keyword in OwnerName: PIPESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
3879 PIPESTONE LLC,0.072,1,"2215 ARROWLEAF HILLS DR, BOZEMAN, MT, 59715-9207",broad keyword in OwnerName: PIPESTONE,Determine whether the name variant/entity has an independent current Washington Companies connection.
